GDPR Sensitive,Notes,Event Code Legacy,Hybride,ActionEventCode Hybride,Status,N/A in V2,Wish list,Stack V2,Stack V1,Action,Capacity,Applications,Actor,Entities,Service,Business Criticity,Activity,API v1 Call,API v1 Note,API v1 Verb,Event tracked since,Criticity of Capacity
No,,,No,,,No,No,No,No,View Application,"https://www.notion.so/Manage-Applications-c7e8d19c87314eae88ac760916eef991, https://www.notion.so/Manage-SaaS-Applications-c3a9488441eb4dbaab6be5e04342f4a0",https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Application-4a6ff18cc4cc42bb8e4ab95157233487,,,"https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,High"
No,,,No,,,No,No,Yes,Yes,View Application Details,"https://www.notion.so/Manage-Applications-c7e8d19c87314eae88ac760916eef991, https://www.notion.so/Manage-SaaS-Applications-c3a9488441eb4dbaab6be5e04342f4a0",https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Application-4a6ff18cc4cc42bb8e4ab95157233487,,,"https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,High"
No,,,No,,,No,No,Yes,No,View Application Documents,"https://www.notion.so/Manage-Applications-c7e8d19c87314eae88ac760916eef991, https://www.notion.so/Manage-SaaS-Applications-c3a9488441eb4dbaab6be5e04342f4a0",https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Application-4a6ff18cc4cc42bb8e4ab95157233487,,,"https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,https://www.notion.so/a37139b96ea448588075ceccf988a2c9",,,,,"Critical,High"
No,,,No,,,No,No,Yes,Yes,View Billing Information,"https://www.notion.so/Manage-SaaS-Account-6339ec2f4e824cdd837c865de5234008, https://www.notion.so/Manage-Account-cc9076bca6cd4f09aa9d6ef2a15fe02a",https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Customer-893f3f582d434a19a7f602b1ea65b4d1,,,"https://www.notion.so/a37139b96ea448588075ceccf988a2c9,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8",,,,,"Light,Light"
No,,,No,,,No,No,Yes,Yes,View Bookings for a Property,"https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55, https://www.notion.so/Manage-Visits-ed81ab4cab0b4251afa332531aaec3db",https://www.notion.so/Agency-App-9d35b96d2bc140f8be04d78bf249c573,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,,,"https://www.notion.so/a37139b96ea448588075ceccf988a2c9,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8",,,,,"High,Critical"
No,,,No,,,No,No,Yes,Yes,View close FG available for staffing a Property,https://www.notion.so/Manage-FlatGuide-Staffing-401b4b05092e40b5a393b6391cdf2887,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,Email / Drop Box / Concord Now ?,,No,,,No,No,No,Yes,View Customer Contract,https://www.notion.so/Sign-Contract-7d3ef3b4ee7c4ce196d2c6358140f762,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,Yes,View Customer Contract,https://www.notion.so/Sign-Contract-7d3ef3b4ee7c4ce196d2c6358140f762,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,https://www.notion.so/Sales-Staff-cea12272506b498da5c145d4dd10cb0a,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Medium
No,,,No,,,No,No,No,Yes,View Customer Dashboard (Reporting),https://www.notion.so/Reporting-5447767cfb1e4aec85a47d2cad5cb86b,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Light
No,,,No,,,No,No,No,Yes,View Customer KPIs,https://www.notion.so/Reporting-5447767cfb1e4aec85a47d2cad5cb86b,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Light
